Cell,Elevation,Times Changed Hands
2002,678,2
2003,584,34
2004,376,507
2005,528,18
2006,560,10
2007,520,23
2008,74,34
2009,111,1
2010,108,115
2011,695,1
2012,683,139
2013,684,2
2014,56,430
2015,274,349
2016,499,340
2017,536,5
2018,564,1
2019,690,1
2020,613,62
2021,551,91
2022,599,5
2023,579,29
2024,322,38
2025,19,32
2026,62,35
2027,926,2
2028,651,331
2029,277,412
2030,304,131
2031,218,217
2032,510,297
2033,463,286
2034,604,3
2035,664,33
2036,607,393
2037,595,15
2038,610,5
2039,610,19
2040,157,26
2041,279,46
2042,1301,1
2043,875,3
2044,809,49
2045,621,160
2046,78,343
2047,275,129
2048,562,2
2049,526,316
2050,532,1
2051,670,2
2052,662,45
2053,625,78
2054,604,12
2055,566,22
2056,799,2
2057,66,16
2058,689,42
2059,1046,2
2060,395,368
2061,946,89
2062,201,255
2063,143,139
2064,561,1
2065,519,406
2066,583,7
2067,611,179
2068,655,185
2069,630,2
2070,667,3
2071,612,36
2072,376,20
2073,785,80
2074,1151,2
2075,797,2
2076,1172,1
2077,1188,1
2078,59,458
2079,584,1
2080,470,457
2081,590,63
2082,612,240
2083,634,56
2084,625,18
2085,675,2
2086,471,31
2087,210,14
2088,1087,2
2089,851,4
2090,481,492
